pokedex_number;name;generation;type1;type2;color;evolving_stade;hp;atk;def;sp_atk;sp_def;spd;base_stats;is_legendary;capt_rate;exp_growth;egg_steps;height;weight;base_happiness;classif;percentage_male;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water
34;Nidoking;1;poison;ground;Purple;3;81;102;77;85;75;85;505;0;45;1059860;5120;1.40;62.0;70;Drill Pokémon;100;0.5;1;1;0;0.5;0.5;1;1;1;1;2;2;1;0.25;2;0.5;1;2
35;Clefairy;1;fairy;;Pink;1;70;45;48;60;65;35;323;0;150;800000;2560;0.61;7.5;140;Fairy Pokémon;24.6;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1
36;Clefable;1;fairy;;Pink;3;95;70;73;95;90;60;483;0;25;800000;2560;1.30;40.0;140;Fairy Pokémon;24.6;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1
37;Vulpix;1;fire;;Brown;1;38;41;40;50;65;65;299;0;190;1000000;5120;0.61;9.9;70;Fox Pokémon;24.6;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
37;Vulpix-Alola;7;ice;fairy;White;1;38;41;40;50;65;65;299;0;190;1000000;5120;0.61;9.9;70;Fox Pokémon;24.6;0.5;0.5;0;1;1;0.5;2;1;1;1;1;0.5;1;2;1;2;4;1
38;Ninetales;1;fire;;Yellow;3;73;67;75;81;100;109;505;0;75;1000000;5120;1.09;19.9;70;Fox Pokémon;24.6;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
38;Ninetales-Alola;7;ice;fairy;Blue;3;73;67;75;81;100;109;505;0;75;1000000;5120;1.09;19.9;70;Fox Pokémon;24.6;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
39;Jigglypuff;1;normal;fairy;Pink;1;115;45;20;45;25;20;270;0;170;800000;2560;0.51;5.5;70;Balloon Pokémon;24.6;0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1
40;Wigglytuff;1;normal;fairy;Pink;3;140;70;45;85;50;45;435;0;50;800000;2560;0.99;12.0;70;Balloon Pokémon;24.6;0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1
41;Zubat;1;poison;flying;Purple;1;40;45;35;30;40;55;245;0;255;1000000;3840;0.79;7.5;70;Bat Pokémon;50;0.25;1;1;2;0.5;0.25;1;1;1;0.25;0;2;1;0.5;2;2;1;1
42;Golbat;1;poison;flying;Purple;2;75;80;70;65;75;90;455;0;90;1000000;3840;1.60;55.0;70;Bat Pokémon;50;0.25;1;1;2;0.5;0.25;1;1;1;0.25;0;2;1;0.5;2;2;1;1
43;Oddish;1;grass;poison;Blue;1;45;50;55;75;65;30;320;0;255;1059860;5120;0.51;5.4;70;Weed Pokémon;50;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5
44;Gloom;1;grass;poison;Blue;2;60;65;70;85;75;40;395;0;120;1059860;5120;0.79;8.6;70;Weed Pokémon;50;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5
45;Vileplume;1;grass;poison;Red;3;75;80;85;110;90;50;490;0;45;1059860;5120;1.19;18.6;70;Flower Pokémon;50;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5
46;Paras;1;bug;grass;Red;1;35;70;55;45;55;25;285;0;190;1000000;5120;0.30;5.4;70;Mushroom Pokémon;50;2;1;1;0.5;1;0.5;4;4;1;0.25;0.25;2;1;2;1;2;1;0.5
47;Parasect;1;bug;grass;Red;3;60;95;80;60;80;30;405;0;75;1000000;5120;0.99;29.5;70;Mushroom Pokémon;50;2;1;1;0.5;1;0.5;4;4;1;0.25;0.25;2;1;2;1;2;1;0.5
48;Venonat;1;bug;poison;Purple;1;60;55;50;40;55;45;305;0;190;1000000;5120;0.99;30.0;70;Insect Pokémon;50;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1
49;Venomoth;1;bug;poison;Purple;3;70;65;60;90;75;90;450;0;75;1000000;5120;1.50;12.5;70;Poison Moth Pokémon;50;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1
50;Diglett;1;ground;;Brown;1;10;55;30;35;45;90;265;0;255;1000000;5120;0.20;0.8;70;Mole Pokémon;50;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2
50;Diglett-Alola;7;ground;steel;Brown;1;10;55;30;35;45;90;265;0;255;1000000;5120;0.20;1.0;70;Mole Pokémon;50;0.5;1;0.5;0;0.5;2;2;0.5;1;1;2;1;0.5;0;0.5;0.25;0.5;2
51;Dugtrio;1;ground;;Brown;3;35;100;60;50;70;110;425;0;50;1000000;5120;0.71;33.3;70;Mole Pokémon;50;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2
51;Dugtrio-Alola;7;ground;steel;Brown;3;35;100;60;50;70;110;425;0;50;1000000;5120;0.71;66.6;70;Mole Pokémon;50;0.5;1;0.5;0;0.5;2;2;0.5;1;1;2;1;0.5;0;0.5;0.25;0.5;2
52;Meowth;1;normal;;Yellow;1;40;35;35;50;40;90;290;0;255;1000000;5120;0.41;4.2;70;Scratch Cat Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
52;Meowth-Alola;7;dark;;Blue;1;40;35;35;50;40;90;290;0;255;1000000;5120;0.41;4.2;70;Scratch Cat Pokémon;50;2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1
53;Persian;1;normal;;Yellow;3;65;60;60;75;65;115;440;0;90;1000000;5120;0.99;32.0;70;Classy Cat Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
53;Persian-Alola;1;dark;;Blue;3;65;60;60;75;65;115;440;0;90;1000000;5120;1.1;33.0;70;Classy Cat Pokémon;50;2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1
54;Psyduck;1;water;;Yellow;1;50;52;48;65;50;55;320;0;190;1000000;5120;0.79;19.6;70;Duck Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
55;Golduck;1;water;;Blue;3;80;82;78;95;80;85;500;0;75;1000000;5120;1.70;76.6;70;Duck Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
56;Mankey;1;fighting;;Brown;1;40;80;35;35;45;70;305;0;190;1000000;5120;0.51;28.0;70;Pig Monkey Pokémon;50;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1
57;Primeape;1;fighting;;Brown;3;65;105;60;60;70;95;455;0;75;1000000;5120;0.99;32.0;70;Pig Monkey Pokémon;50;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1
58;Growlithe;1;fire;;Brown;1;55;70;45;70;50;60;350;0;190;1250000;5120;0.71;19.0;70;Puppy Pokémon;75.4;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
59;Arcanine;1;fire;;Brown;3;90;110;80;100;80;95;555;0;75;1250000;5120;1.91;155.0;70;Legendary Pokémon;75.4;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
60;Poliwag;1;water;;Blue;1;40;50;40;40;40;90;300;0;255;1059860;5120;0.61;12.4;70;Tadpole Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
61;Poliwhirl;1;water;;Blue;2;65;65;65;50;50;90;385;0;120;1059860;5120;0.99;20.0;70;Tadpole Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
62;Poliwrath;1;water;fighting;Blue;3;90;95;95;70;90;70;510;0;45;1059860;5120;1.30;54.0;70;Tadpole Pokémon;50;0.5;0.5;1;2;2;1;0.5;2;1;2;1;0.5;1;1;2;0.5;0.5;0.5
63;Abra;1;psychic;;Brown;1;25;20;15;105;55;90;310;0;200;1059860;5120;0.89;19.5;70;Psi Pokémon;75.4;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
64;Kadabra;1;psychic;;Brown;2;40;35;30;120;70;105;400;0;100;1059860;5120;1.30;56.5;70;Psi Pokémon;75.4;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
65;Alakazam;1;psychic;;Brown;3;55;50;65;175;105;150;600;0;50;1059860;5120;1.50;48.0;70;Psi Pokémon;75.4;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
66;Machop;1;fighting;;Grey;1;70;80;50;35;35;35;305;0;180;1059860;5120;0.79;19.5;70;Superpower Pokémon;75.4;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1
67;Machoke;1;fighting;;Grey;2;80;100;70;50;60;45;405;0;90;1059860;5120;1.50;70.5;70;Superpower Pokémon;75.4;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1
68;Machamp;1;fighting;;Grey;3;90;130;80;65;85;55;505;0;45;1059860;5120;1.60;130.0;70;Superpower Pokémon;75.4;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1
69;Bellsprout;1;grass;poison;Green;1;50;75;35;70;30;40;300;0;255;1059860;5120;0.71;4.0;70;Flower Pokémon;50;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5
70;Weepinbell;1;grass;poison;Green;2;65;90;50;85;45;55;390;0;120;1059860;5120;0.99;6.4;70;Flycatcher Pokémon;50;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5
71;Victreebel;1;grass;poison;Green;3;80;105;65;100;70;70;490;0;45;1059860;5120;1.70;15.5;70;Flycatcher Pokémon;50;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5
72;Tentacool;1;water;poison;Blue;1;40;40;35;50;100;70;335;0;190;1250000;5120;0.89;45.5;70;Jellyfish Pokémon;50;0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5
73;Tentacruel;1;water;poison;Blue;3;80;70;65;80;120;100;515;0;60;1250000;5120;1.60;55.0;70;Jellyfish Pokémon;50;0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5
74;Geodude;1;rock;ground;Brown;1;40;80;100;30;30;20;300;0;255;1059860;3840;0.41;20.0;70;Rock Pokémon;50;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4
74;Geodude-Alola;7;rock;electric;Grey;1;40;80;100;30;30;20;300;0;255;1059860;3840;0.41;20.3;70;Rock Pokémon;50;1;1;1;0.5;1;2;0.5;0.25;1;2;4;1;0.5;0.5;1;1;1;2
75;Graveler;1;rock;ground;Brown;2;55;95;115;45;45;35;390;0;120;1059860;3840;0.99;105.0;70;Rock Pokémon;50;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4
75;Graveler-Alola;7;rock;electric;Grey;2;55;95;115;45;45;35;390;0;120;1059860;3840;0.99;110.0;70;Rock Pokémon;50;1;1;1;0.5;1;2;0.5;0.25;1;2;4;1;0.5;0.5;1;1;1;2
76;Golem;1;rock;ground;Brown;3;80;120;130;55;65;45;495;0;45;1059860;3840;1.40;300.0;70;Megaton Pokémon;50;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4
76;Golem;7;rock;electric;Grey;3;80;120;130;55;65;45;495;0;45;1059860;3840;1.70;316.0;70;Megaton Pokémon;50;1;1;1;0.5;1;2;0.5;0.25;1;2;4;1;0.5;0.5;1;1;1;2
77;Ponyta;1;fire;;Yellow;1;50;85;55;65;65;90;410;0;190;1000000;5120;0.99;30.0;70;Fire Horse Pokémon;50;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
78;Rapidash;1;fire;;Yellow;3;65;100;70;80;80;105;500;0;60;1000000;5120;1.70;95.0;70;Fire Horse Pokémon;50;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
79;Slowpoke;1;water;psychic;Pink;1;90;65;65;40;40;15;315;0;190;1000000;5120;1.19;36.0;70;Dopey Pokémon;50;2;2;1;2;1;0.5;0.5;1;2;2;1;0.5;1;1;0.5;1;0.5;0.5
80;Slowbro;1;water;psychic;Pink;3;95;75;180;130;80;30;590;0;75;1000000;5120;1.60;78.5;70;Hermit Crab Pokémon;50;2;2;1;2;1;0.5;0.5;1;2;2;1;0.5;1;1;0.5;1;0.5;0.5
81;Magnemite;1;electric;steel;Grey;1;25;35;70;95;55;45;325;0;190;1000000;5120;0.30;6.0;70;Magnet Pokémon;;0.5;1;0.5;0.5;0.5;2;2;0.25;1;0.5;4;0.5;0.5;0;0.5;0.5;0.25;1
82;Magneton;1;electric;steel;Grey;2;50;60;95;120;70;70;465;0;60;1000000;5120;0.99;60.0;70;Magnet Pokémon;;0.5;1;0.5;0.5;0.5;2;2;0.25;1;0.5;4;0.5;0.5;0;0.5;0.5;0.25;1
83;Farfetch'd;1;normal;flying;Brown;3;52;90;55;58;62;60;377;0;45;1000000;5120;0.79;15.0;70;Wild Duck Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
84;Doduo;1;normal;flying;Brown;1;35;85;45;35;35;75;310;0;190;1000000;5120;1.40;39.2;70;Twin Bird Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
85;Dodrio;1;normal;flying;Brown;3;60;110;70;60;60;110;470;0;45;1000000;5120;1.80;85.2;70;Triple Bird Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
86;Seel;1;water;;White;1;65;45;55;45;70;45;325;0;190;1000000;5120;1.09;90.0;70;Sea Lion Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
87;Dewgong;1;water;ice;White;3;90;70;80;70;95;70;475;0;75;1000000;5120;1.70;120.0;70;Sea Lion Pokémon;50;1;1;1;2;1;2;1;1;1;2;1;0.25;1;1;1;2;1;0.5
88;Grimer;1;poison;;Purple;1;80;80;50;40;50;25;325;0;190;1000000;5120;0.89;30.0;70;Sludge Pokémon;50;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
88;Grimer-Alola;7;poison;dark;Green;1;80;80;50;40;50;25;325;0;190;1000000;5120;0.7;42.0;70;Sludge Pokémon;50;1;0.5;1;1;1;1;1;1;0.5;1;2;1;1;0.5;0;1;1;1
89;Muk;1;poison;poison;Purple;3;105;105;75;65;100;50;500;0;75;1000000;5120;1.19;30.0;70;Sludge Pokémon;50;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
89;Muk-Alola;7;poison;dark;Green;3;105;105;75;65;100;50;500;0;75;1000000;5120;1.0;52.0;70;Sludge Pokémon;50;1;0.5;1;1;1;1;1;1;0.5;1;2;1;1;0.5;0;1;1;1
90;Shellder;1;water;;Purple;1;30;65;100;45;25;40;305;0;190;1250000;5120;0.30;4.0;70;Bivalve Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
91;Cloyster;1;water;ice;Purple;3;50;95;180;85;45;70;525;0;60;1250000;5120;1.50;132.5;70;Bivalve Pokémon;50;1;1;1;2;1;2;1;1;1;2;1;0.25;1;1;1;2;1;0.5
92;Gastly;1;ghost;poison;Purple;1;30;35;30;100;35;80;310;0;190;1059860;5120;1.30;0.1;70;Gas Pokémon;50;0.25;2;1;1;0.5;0;1;1;2;0.5;2;1;0;0.25;2;1;1;1
93;Haunter;1;ghost;poison;Purple;2;45;50;45;115;55;95;405;0;90;1059860;5120;1.60;0.1;70;Gas Pokémon;50;0.25;2;1;1;0.5;0;1;1;2;0.5;2;1;0;0.25;2;1;1;1
94;Gengar;1;ghost;poison;Purple;3;60;65;80;170;95;130;600;0;45;1059860;5120;1.50;40.5;70;Shadow Pokémon;50;0.25;2;1;1;0.5;0;1;1;2;0.5;2;1;0;0.25;2;1;1;1
95;Onix;1;rock;ground;Grey;1;35;45;160;30;45;70;385;0;45;1000000;6400;8.79;210.0;70;Rock Snake Pokémon;50;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4
96;Drowzee;1;psychic;;Yellow;1;60;48;45;43;90;42;328;0;190;1000000;5120;0.99;32.4;70;Hypnosis Pokémon;50;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
97;Hypno;1;psychic;;Yellow;3;85;73;70;73;115;67;483;0;75;1000000;5120;1.60;75.6;70;Hypnosis Pokémon;50;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
98;Krabby;1;water;;Red;1;30;105;90;25;25;50;325;0;225;1000000;5120;0.41;6.5;70;River Crab Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
99;Kingler;1;water;;Red;3;55;130;115;50;50;75;475;0;60;1000000;5120;1.30;60.0;70;Pincer Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
100;Voltorb;1;electric;;Red;1;40;30;50;55;55;100;330;0;190;1000000;5120;0.51;10.4;70;Ball Pokémon;;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
101;Electrode;1;electric;;Red;3;60;50;70;80;80;150;490;0;60;1000000;5120;1.19;66.6;70;Ball Pokémon;;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
102;Exeggcute;1;grass;psychic;Pink;1;60;40;80;60;45;40;325;0;90;1250000;5120;0.41;2.5;70;Egg Pokémon;50;4;2;1;0.5;1;0.5;2;2;2;0.5;0.5;2;1;2;0.5;1;1;0.5
103;Exeggutor;1;grass;psychic;Yellow;3;95;105;85;125;75;45;530;0;45;1250000;5120;2.01;120.0;70;Coconut Pokémon;50;4;2;1;0.5;1;0.5;2;2;2;0.5;0.5;2;1;2;0.5;1;1;0.5
103;Exeggutor-Alola;7;grass;dragon;Yellow;3;95;105;85;125;75;45;530;0;45;1250000;5120;10.9;415.6;70;Coconut Pokémon;50;2;1;2;0.5;2;1;1;2;1;0.5;0.5;4;1;2;1;1;1;0.25
